"naam";"kvk";"rechtsvorm";"straat";"huisnummer";"huisletter";"huisnummerToevoeging";"postcode";"woonplaatsnaam";"landnaam";"zaanvadresinfo";"locatienaam";"lomschrijving";"vestigingsnummer";"lstraat";"lhuisnummer";"lhuisletter";"lhuisnummerToevoeging";"lpostcode";"lwoonplaatsnaam";"llandnaam";"laanvadresinfo";"isaccommodatie";"iswzd";"iswvggz";"aantekeningingang";"aantekeningeinde";"zvbejegening";"zvverzorging";"zvverpleging";"zvbehandeling";"zvbegeleiding";"zvbescherming";"zvvochtvoedingmedicatie";"zvmedishcecontroles";"zvbeperkenbewegingsvrijheid";"zvinsluiten";"zvtoezicht";"zvonderzoekkledinglichaam";"zvonderzoekwoonruimte";;"zvbeperkeneigenleven";"zvbeperkenbezoek";"zvopnemen";"zvtijdelijkverblijf"
"Academisch Ziekenhuis Groningen";01169570;;"Hanzeplein ";"1";;;"9713 GZ";"Groningen";"Nederland";;"Academisch Ziekenhuis Groningen";;12915866;"Hanzeplein ";"1";;;"9713 GZ";"Groningen";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Academisch Ziekenhuis Maastricht";14124959;;"P. Debyelaan ";"25";;;"6229 HX";"Maastricht";"Nederland";;"Academisch Ziekenhuis Maastricht";;20636660;"P. Debyelaan ";"25";;;"6229 HX";"Maastricht";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Katholieke Universiteit";41055629;"Stichting";"Geert Grooteplein Noord ";"9";;;"6525 EZ";"Nijmegen";"Nederland";;"Academisch ziekenhuis Nijmegen St. Radboud";;21375631;"Geert Grooteplein Zuid ";"10";;;"6525 GA";"Nijmegen";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Universitaire en Algemene Kinder- en Jeugdpsychiatrie Noord-Nederland";41020275;"Stichting";"Gronigerstraat ";"352";;;"9402 LT";"Assen";"Nederland";;"locatie De Ruyterstee";;21301131;"Fazantenlaan ";"1";;;"9422 EZ";"Smilde";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Admiraal De Ruyter Ziekenhuis B.V.";22063723;"B.V.";"s-Gravenpolderseweg ";"114";;;"4462 RA";"Goes";"Nederland";;"Ziekenhuis Walcheren";;37098713;"Koudekerkseweg ";"88";;;"4382 EE";"Vlissingen";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Albert Schweitzer Ziekenhuis";23091362;"Stichting";"Albert Schweitzerplaats ";"25";;;"3318 AT";"Dordrecht";"Nederland";;"Albert Schweitzer ziekenhuis";;28119053;"Albert Schweitzerplaats ";"25";;;"3318 AT";"Dordrecht";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie Meijboom";;30071771;"Distelvlinder ";"8";;;"3734 AA";"Den Dolder";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie Reijnvaan";;30071046;"Distelvlinder ";"9";;;"3734 AA";"Den Dolder";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie RPC Nieuwegein";;30067707;"Rembrandthage ";"77";;;"3734 PD";"Nieuwegein";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie ABC";;30077230;"Lange Nieuwstraat ";"52";;;"3512 PK";"Utrecht";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie ABC";;30077036;"Lange Nieuwstraat ";"52";"a";;"3512 PK";"Utrecht";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie Willem Arntsz Huis";;30066794;"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie  Dinsele";;30075572;"Wenshoek ";"2";;;"3705 WE";"Zeist";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie Rintveld eetstoornissen";;30075653;"Wenshoek ";"4";;;"3705 WE";"Zeist";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie Brinkveld";;30075394;"Gedachtengang ";"2";;;"3705 WH";"Zeist";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
"Stichting Altrecht";30161681;"Stichting";"Lange Nieuwstraat ";"119";;;"3512 PG";"Utrecht";"Nederland";;"locatie Den Eijk";;30076013;"Gedachtengang ";"6";;;"3705 WH";"Zeist";"Nederland";;"ja ";;"ja ";Nov 1, 19;;;;;;;;"ja";;"ja";"ja";;;;;;;"ja";"ja"
