naam;kvk;rechtsvorm;straat;huisnummer;huisnummertoevoeging;postcode;woonplaatsnaam;landnaam;zaanvadresinfo;locatienaam;lomschrijving;vestigingsnummer;lstraat;lhuisnummer;lhuisnummertoevoeging;lpostcode;lwoonplaatsnaam;llandnaam;laanvadresinfo;iswzdacco;iswvggzaco;iswzdamb;isawvggzmb;aantekeningingang;aantekeningeinde;isbopz;zvvochtvoedingmedicatie;zvbeperkenbewegingsvrijheid;zvinsluiten;zvtoezicht;zvonderzoekkledinglichaam;zvonderzoekwoonruimte;zvcontrolerenmiddelen;zvbeperkeneigenleven;zvbeperkenbezoek;zvtijdelijkverblijf
Academisch Medisch Centrum;34362777;publiekrechtelijkeRechtspersoon;Meibergdreef;9;;1105 AZ;Amsterdam;Nederland;;AMC;;22829768;Meibergdreef;9;;1105 AZ;Amsterdam;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Academisch Medisch Centrum;34362777;publiekrechtelijkeRechtspersoon;Meibergdreef;9;;1105 AZ;Amsterdam;Nederland;;AMC;;;Meibergdreef;5;;1105 AZ;Amsterdam;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Academisch Ziekenhuis Groningen;1169570;publiekrechtelijkeRechtspersoon;Hanzeplein;1;;9713 GZ;Groningen;Nederland;;Academisch Ziekenhuis Groningen;;12915866;Hanzeplein;1;;9713 GZ;Groningen;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Academisch Ziekenhuis Groningen;14124959;publiekrechtelijkeRechtspersoon;P Debyelaan;25;;6229 HX;Maastricht;Nederland;;Academisch Ziekenhuis Maastricht;;20636660;P. Debyelaan;25;;6229 HX;Maastricht;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Academisch Ziekenhuis Groningen;22063723;beslotenVennootschap;'s-Gravenpolderseweg;114;;4462 RA;Goes;Nederland;;Ziekenhuis Walcheren;;37098713;Koudekerkseweg;88;;4382 EE;Vlissingen;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Academisch Ziekenhuis Groningen;24376932;beslotenVennootschap;Prins Constantijnweg;48;;3066 TA;Rotterdam;Nederland;;Bouwmankliniek;;;Prins Constantijnweg;131;;3066 TA;Rotterdam;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;De Haer;3;;8431 GS;Oosterwolde;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;De Haer;5;;8431 GS;Oosterwolde;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Trimbeets;39;;8431 XD;Gorredijk;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Alliade Zorggroep, Stichting Talant;41186585;stichting;Trambaan;10;;8440 AH;Heerenveen;Nederland;;Talant;;;Trimbeets;41;;8431 XD;Gorredijk;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
